"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17","should overwrite Environment info","","Fri Mar 28 18:12:07 GMT 2025","passed","Fri Mar 28 18:12:07 GMT 2025","","Allure Environment info","",""
"","558","Visit Site 2 - Bing","","Fri Mar 28 18:12:23 GMT 2025","failed","Fri Mar 28 18:12:24 GMT 2025","","Multiple domains","",""
"","269","should attach cy.api data with allureLogCypress and allureAttachRequests env vars","","Fri Mar 28 18:12:05 GMT 2025","passed","Fri Mar 28 18:12:06 GMT 2025","","Allure Cypress log","",""
"","25","should attach parameter number 2 to step","","Fri Mar 28 18:12:35 GMT 2025","passed","Fri Mar 28 18:12:35 GMT 2025","","Allure parameters","",""
"","18","should be able to add severity","","Fri Mar 28 18:12:57 GMT 2025","passed","Fri Mar 28 18:12:57 GMT 2025","","Allure labels","",""
"","27","Will attach links for each example separately (example #1)","Gherkin_parent_suite","Fri Mar 28 18:13:10 GMT 2025","passed","Fri Mar 28 18:13:10 GMT 2025","Gherkin_sub_suite","Gherkin_suite","",""
"","116","test with retries","","Fri Mar 28 18:12:37 GMT 2025","passed","Fri Mar 28 18:12:37 GMT 2025","","Allure retry","",""
"","15","could be started for current test with step and finished automatically","","Fri Mar 28 18:12:51 GMT 2025","passed","Fri Mar 28 18:12:51 GMT 2025","","Allure steps","",""
"","24","could be started and finished with startStep, endStep","","Fri Mar 28 18:12:51 GMT 2025","passed","Fri Mar 28 18:12:51 GMT 2025","","Allure steps","",""
"","40","""Label storage"", ""Set in test""","Allure tests structure","Fri Mar 28 18:12:58 GMT 2025","passed","Fri Mar 28 18:12:59 GMT 2025","Set in beforeEach","Label storage","",""
"","16","should be able to add link to test management system","","Fri Mar 28 18:12:16 GMT 2025","passed","Fri Mar 28 18:12:16 GMT 2025","","Allure links","",""
"","38","Some scenario with examples (example #1)","Gherkin_parent_suite","Fri Mar 28 18:13:06 GMT 2025","passed","Fri Mar 28 18:13:06 GMT 2025","Gherkin_sub_suite","Gherkin_suite","",""
"","9","""Label storage"", ""Set in beforeEach""","Allure tests structure","Fri Mar 28 18:12:58 GMT 2025","passed","Fri Mar 28 18:12:58 GMT 2025","Set in beforeEach","Label storage","",""
"
## Emphasis

**This is bold text**

__This is bold text__

*This is italic text*

_This is italic text_

~~Strikethrough~~
","14","should be able to add markdown description","","Fri Mar 28 18:12:57 GMT 2025","passed","Fri Mar 28 18:12:57 GMT 2025","","Allure labels","",""
