"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","6","","45","4","","0"
"0","Tests structure","0","behaviors","1","0","labels","0"
"0","Behaviours_epic","1","Gherkin_feature","7","0","Behaviours_story","0"
